tam_entrada, resultado, tempo_usuario, tempo_sistema
1, 1, 0.0000020, 0.0000000
2, 1, 0.0000020, 0.0000010
3, 1, 0.0000020, 0.0000000
4, 1, 0.0000020, 0.0000000
5, 1, 0.0000020, 0.0000000
6, 1, 0.0000020, 0.0000000
7, 1, 0.0000020, 0.0000000
8, 2, 0.0000050, 0.0000000
9, 2, 0.0000050, 0.0000000
10, 2, 0.0000060, 0.0000010
11, 3, 0.0000070, 0.0000000
12, 3, 0.0000090, 0.0000000
13, 4, 0.0000120, 0.0000000
14, 4, 0.0000130, 0.0000010
15, 4, 0.0000150, 0.0000000
16, 4, 0.0000180, 0.0000000
17, 4, 0.0000200, 0.0000010
18, 4, 0.0000230, 0.0000000
19, 5, 0.0000250, 0.0000010
20, 5, 0.0000280, 0.0000000
21, 5, 0.0000310, 0.0000010
22, 5, 0.0000350, 0.0000010
23, 5, 0.0000800, 0.0000010
24, 5, 0.0000760, 0.0000020
25, 6, 0.0000740, 0.0000010
26, 6, 0.0000840, 0.0000020
27, 6, 0.0001000, 0.0000010
28, 6, 0.0000780, 0.0000020
29, 6, 0.0000630, 0.0000010
30, 7, 0.0000670, 0.0000010
31, 7, 0.0000720, 0.0000020
32, 7, 0.0000770, 0.0000010
33, 7, 0.0000810, 0.0000010
34, 7, 0.0000870, 0.0000010
35, 7, 0.0001210, 0.0000020
36, 7, 0.0001540, 0.0000030
37, 7, 0.0001910, 0.0000030
38, 7, 0.0001090, 0.0000010
39, 8, 0.0001150, 0.0000020
40, 8, 0.0001210, 0.0000020
41, 8, 0.0001270, 0.0000020
42, 8, 0.0001330, 0.0000020
43, 8, 0.0001390, 0.0000030
44, 8, 0.0001460, 0.0000020
45, 8, 0.0002600, 0.0000050
46, 8, 0.0002720, 0.0000050
47, 8, 0.0002910, 0.0000050
48, 8, 0.0001750, 0.0000030
49, 8, 0.0003000, 0.0000000
50, 8, 0.0003090, 0.0000000
51, 8, 0.0002980, 0.0000000
52, 8, 0.0004010, 0.0000000
