tam_entrada, resultado, tempo_usuario, tempo_sistema
1, 1, 0.0000020, 0.0000000
101, 13, 0.0008660, 0.0000000
201, 22, 0.0036360, 0.0000000
301, 29, 0.0077910, 0.0000000
401, 34, 0.0137600, 0.0000000
501, 36, 0.0215150, 0.0000000
601, 41, 0.0310580, 0.0000000
701, 43, 0.0471440, 0.0000000
801, 44, 0.0563180, 0.0000000
901, 48, 0.0700840, 0.0000000
1001, 51, 0.0864730, 0.0000000
1101, 52, 0.1114830, 0.0000000
1201, 54, 0.1296340, 0.0000000
1301, 55, 0.1458640, 0.0000000
1401, 58, 0.1749140, 0.0000000
1501, 60, 0.1941130, 0.0000000
1601, 62, 0.2264520, 0.0000000
1701, 64, 0.2494520, 0.0000000
1801, 66, 0.2819870, 0.0000000
1901, 68, 0.3350850, 0.0000000
2001, 71, 0.3457780, 0.0000000
2101, 73, 0.3823070, 0.0000000
2201, 75, 0.4259960, 0.0000000
2301, 76, 0.4583790, 0.0000000
2401, 79, 0.5006160, 0.0000000
2501, 79, 0.5634120, 0.0000000
2601, 80, 0.5835910, 0.0000000
2701, 82, 0.6289860, 0.0000000
2801, 85, 0.7463700, 0.0000000
2901, 86, 0.8709540, 0.0000000
3001, 88, 0.9196690, 0.0000000
3101, 89, 0.8869960, 0.0000000
3201, 91, 0.9166610, 0.0000000
3301, 93, 1.0159060, 0.0000000
3401, 95, 1.0499250, 0.0000000
3501, 96, 1.1551800, 0.0000000
3601, 97, 1.1814580, 0.0000000
3701, 99, 1.3456280, 0.0000000
3801, 99, 1.6066820, 0.0000000
3901, 101, 1.7119350, 0.0000000
4001, 103, 1.4685720, 0.0000000
4101, 104, 1.5465600, 0.0039980
4201, 104, 1.5764040, 0.0000010
4301, 106, 1.6891060, 0.0000000
4401, 108, 1.7830060, 0.0000000
4501, 109, 1.7921600, 0.0000000
4601, 110, 1.8960090, 0.0000000
4701, 110, 2.0614420, 0.0000000
4801, 112, 2.1137760, 0.0000000
4901, 113, 2.2439130, 0.0000000
5001, 114, 2.2805300, 0.0000000
5101, 115, 2.3972870, 0.0000000
5201, 118, 2.6105480, 0.0000000
5301, 119, 2.6951690, 0.0000000
5401, 120, 2.6905510, 0.0000000
5501, 123, 2.6436390, 0.0000000
5601, 125, 2.7608830, 0.0000000
5701, 126, 3.0099200, 0.0000000
5801, 126, 3.1014850, 0.0000000
5901, 126, 3.3015530, 0.0000000
6001, 126, 3.3960270, 0.0000000
6101, 127, 3.5023110, 0.0000000
6201, 129, 3.8859490, 0.0000000
6301, 130, 4.0283510, 0.0000000
6401, 131, 3.7947830, 0.0000000
6501, 132, 3.8587460, 0.0000000
6601, 134, 3.9027250, 0.0000000
6701, 135, 4.2751600, 0.0000000
6801, 137, 4.2575650, 0.0000000
6901, 137, 4.3868020, 0.0000000
7001, 138, 4.4070810, 0.0000000
7101, 139, 4.7005840, 0.0000000
7201, 139, 4.7303590, 0.0000000
7301, 140, 4.8949660, 0.0000000
7401, 141, 5.1553430, 0.0000000
7501, 141, 5.1105660, 0.0000000
7601, 143, 5.2965540, 0.0000000
7701, 143, 5.3753160, 0.0000000
7801, 144, 5.7460690, 0.0000000
7901, 145, 5.7760220, 0.0000000
8001, 145, 5.9267880, 0.0000000
8101, 146, 5.9505660, 0.0000000
8201, 147, 6.1658240, 0.0000000
8301, 148, 6.3630460, 0.0000000
8401, 149, 6.8020650, 0.0000000
8501, 150, 7.1778190, 0.0040000
8601, 151, 7.0119550, 0.0000000
8701, 152, 7.0792190, 0.0000000
8801, 153, 7.4521170, 0.0000000
8901, 154, 7.8056250, 0.0000000
9001, 155, 7.7385830, 0.0000000
9101, 155, 8.0753080, 0.0000000
9201, 157, 8.5025890, 0.0000000
9301, 157, 8.0991120, 0.0039990
9401, 158, 7.8047140, 0.0000000
9501, 159, 8.0074250, 0.0000000
9601, 160, 8.8264300, 0.0000000
9701, 161, 8.9466740, 0.1439800
9801, 163, 9.4127370, 0.0039960
9901, 164, 9.6120920, 0.0040000
