tam_entrada, resultado, tempo_usuario, tempo_sistema
1, 1, 0.0000010, 0.0000000
51, 8, 0.0002150, 0.0000000
101, 13, 0.0009690, 0.0000000
151, 18, 0.0019340, 0.0000000
201, 22, 0.0033990, 0.0000000
251, 26, 0.0053620, 0.0000000
301, 29, 0.0076330, 0.0000000
351, 32, 0.0104020, 0.0000000
401, 34, 0.0135360, 0.0000000
451, 35, 0.0171380, 0.0000000
501, 36, 0.0212080, 0.0000000
551, 38, 0.0262800, 0.0000000
601, 41, 0.0306940, 0.0000000
651, 43, 0.0409330, 0.0000000
701, 43, 0.0417050, 0.0000000
751, 44, 0.0478210, 0.0000000
801, 44, 0.0544640, 0.0000000
851, 46, 0.0624090, 0.0000000
901, 48, 0.0703360, 0.0000000
951, 49, 0.0773570, 0.0000000
1001, 51, 0.0849710, 0.0000000
1051, 51, 0.0950220, 0.0000000
1101, 52, 0.1045580, 0.0000000
1151, 53, 0.1134490, 0.0000000
1201, 54, 0.1223920, 0.0000000
1251, 54, 0.1354610, 0.0000000
1301, 55, 0.1441140, 0.0000000
1351, 56, 0.1546610, 0.0000000
1401, 58, 0.1664430, 0.0000000
1451, 58, 0.1823330, 0.0000000
1501, 60, 0.2412740, 0.0000000
1551, 61, 0.2302470, 0.0000000
1601, 62, 0.2368470, 0.0000000
1651, 64, 0.2498270, 0.0000000
1701, 64, 0.2612280, 0.0000000
1751, 66, 0.2704310, 0.0000000
1801, 66, 0.3215290, 0.0000000
1851, 68, 0.3504500, 0.0000000
1901, 68, 0.3801980, 0.0000000
1951, 70, 0.3557940, 0.0000000
2001, 71, 0.3655900, 0.0000000
2051, 72, 0.3771720, 0.0000000
2101, 73, 0.4041670, 0.0000000
2151, 75, 0.4970030, 0.0000000
2201, 75, 0.4256890, 0.0000000
2251, 76, 0.5032380, 0.0000000
2301, 76, 0.4682960, 0.0000000
2351, 76, 0.5438410, 0.0000000
2401, 79, 0.5622850, 0.0000000
2451, 79, 0.5708400, 0.0000000
2501, 79, 0.5790150, 0.0000000
2551, 79, 0.5735840, 0.0000000
2601, 80, 0.5832850, 0.0000000
2651, 81, 0.6904150, 0.0000000
2701, 82, 0.6848540, 0.0000000
2751, 83, 0.6610690, 0.0000000
2801, 85, 0.7330850, 0.0000000
2851, 85, 0.9699750, 0.0000000
2901, 86, 0.7902060, 0.0000000
2951, 86, 0.7614520, 0.0000000
3001, 88, 0.8554440, 0.0000000
3051, 88, 0.9082160, 0.0000000
3101, 89, 0.8760070, 0.0000000
3151, 90, 0.8922750, 0.0000000
3201, 91, 0.9385170, 0.0000000
3251, 93, 0.9268550, 0.0000000
3301, 93, 0.9745780, 0.0000000
3351, 94, 1.0562140, 0.0000000
3401, 95, 1.0154530, 0.0000000
3451, 96, 1.0480550, 0.0000000
3501, 96, 1.0983500, 0.0000000
3551, 96, 1.1908910, 0.0039990
3601, 97, 1.1955920, 0.0000000
3651, 98, 1.2620370, 0.0000000
3701, 99, 1.2686380, 0.0000000
3751, 99, 1.3290930, 0.0000000
3801, 99, 1.3310380, 0.0000000
3851, 100, 1.3844270, 0.0000000
3901, 101, 1.4568680, 0.0000000
3951, 103, 1.3887320, 0.0000000
4001, 103, 1.4947350, 0.0000000
4051, 104, 1.4788600, 0.0000000
4101, 104, 1.6432720, 0.0000000
4151, 104, 1.5225770, 0.0000000
4201, 104, 1.5842870, 0.0000000
4251, 105, 1.7732850, 0.0000000
